zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53001,1421,186,180,42,11,6,0.130893737,0.126671358,0.02955665,0.007741027,0.004222379
53002,1616,243,341,50,0,6,0.150371287,0.211014851,0.030940594,0,0.003712871
53003,102,6,4,5,0,0,0.058823529,0.039215686,0.049019608,0,0
53004,2133,332,500,131,18,10,0.15564932,0.234411627,0.061415846,0.008438819,0.004688233
53005,14101,1035,4791,2172,813,324,0.07339905,0.339763137,0.154031629,0.057655485,0.022977094
53006,1193,176,186,64,8,7,0.147527242,0.155909472,0.05364627,0.006705784,0.005867561
53007,1393,125,273,66,4,0,0.089734386,0.195979899,0.047379756,0.0028715,0
53010,5337,666,586,263,15,16,0.124789207,0.109799513,0.049278621,0.002810568,0.002997939
53011,1693,201,262,67,7,7,0.118724158,0.154754873,0.039574719,0.004134672,0.004134672
53012,13089,1153,4158,1906,616,147,0.088089235,0.317671327,0.145618458,0.047062419,0.011230804
53013,2261,291,373,196,23,9,0.128704113,0.164971252,0.086687307,0.01017249,0.00398054
53014,5707,802,851,209,14,8,0.140529175,0.149115122,0.036621693,0.002453128,0.001401787
53015,1813,235,285,105,21,18,0.129619415,0.157198014,0.057915058,0.011583012,0.009928296
53016,296,34,26,1,0,0,0.114864865,0.087837838,0.003378378,0,0
53017,4038,496,1062,413,104,23,0.122833086,0.263001486,0.102278356,0.025755324,0.005695889
53018,5668,395,1905,861,176,73,0.069689485,0.336097389,0.151905434,0.031051517,0.012879323
53019,1376,182,146,40,7,2,0.132267442,0.106104651,0.029069767,0.005087209,0.001453488
53020,2786,311,507,163,22,20,0.111629576,0.181981335,0.05850682,0.007896626,0.007178751
53021,3433,363,479,140,29,4,0.105738421,0.13952811,0.040780658,0.008447422,0.001165162
53022,13389,1353,3714,1124,249,163,0.101053103,0.277391889,0.083949511,0.018597356,0.012174173
53023,1798,102,154,80,2,6,0.0567297,0.085650723,0.044493882,0.001112347,0.003337041
53024,11586,979,3563,1216,247,164,0.084498533,0.307526325,0.104954255,0.021318833,0.014155015
53027,15425,1667,2985,831,97,29,0.108071313,0.193517018,0.053873582,0.006288493,0.001880065
53029,13957,1309,4409,1558,404,198,0.093788063,0.315898832,0.111628573,0.028946049,0.01418643
53032,3312,365,441,136,30,3,0.110205314,0.133152174,0.041062802,0.009057971,0.000905797
53033,3910,411,1013,281,68,22,0.10511509,0.259079284,0.071867008,0.017391304,0.005626598
53034,1185,127,129,24,5,8,0.107172996,0.108860759,0.020253165,0.004219409,0.006751055
53035,1712,161,218,62,4,2,0.094042056,0.127336449,0.036214953,0.002336449,0.001168224
53036,2067,261,453,147,32,13,0.126269956,0.2191582,0.071117562,0.015481374,0.006289308
53037,6690,817,1611,366,26,12,0.122122571,0.240807175,0.05470852,0.003886398,0.001793722
53038,2906,287,622,187,53,8,0.098761184,0.214039917,0.064349621,0.018238128,0.002752925
53039,3315,369,381,86,18,7,0.111312217,0.114932127,0.025942685,0.005429864,0.002111614
53040,5546,700,880,146,131,15,0.126217093,0.158672917,0.026325279,0.023620627,0.002704652
53042,4790,618,633,238,15,11,0.129018789,0.132150313,0.049686848,0.003131524,0.002296451
53044,1638,130,594,317,49,32,0.079365079,0.362637363,0.193528694,0.02991453,0.01953602
53045,15425,928,5559,2471,1168,530,0.060162075,0.360388979,0.160194489,0.075721232,0.034359806
53046,850,102,111,40,3,3,0.12,0.130588235,0.047058824,0.003529412,0.003529412
53047,32,11,3,7,0,0,0.34375,0.09375,0.21875,0,0
53048,2228,243,258,70,8,0,0.109066427,0.115798923,0.031418312,0.003590664,0
53049,2040,312,327,152,12,28,0.152941176,0.160294118,0.074509804,0.005882353,0.01372549
53050,4847,528,540,149,6,7,0.108933361,0.111409119,0.030740664,0.001237879,0.001444192
53051,26156,2289,7386,2779,543,367,0.087513381,0.282382627,0.106247133,0.020760055,0.014031197
53057,1209,163,145,82,10,0,0.134822167,0.11993383,0.067824648,0.008271299,0
53058,2533,239,768,382,77,52,0.09435452,0.303197789,0.150809317,0.030398737,0.020529017
53059,1405,208,123,41,10,0,0.148042705,0.087544484,0.029181495,0.007117438,0
53061,3696,502,514,123,11,6,0.135822511,0.139069264,0.033279221,0.00297619,0.001623377
53063,1212,186,156,47,5,3,0.153465347,0.128712871,0.038778878,0.004125413,0.002475248
53065,1676,272,244,42,8,21,0.162291169,0.145584726,0.025059666,0.00477327,0.012529833
53066,23789,2224,6804,2642,704,233,0.093488587,0.286014545,0.111059733,0.02959351,0.009794443
53069,597,27,263,24,37,0,0.045226131,0.440536013,0.040201005,0.061976549,0
53070,3378,340,663,214,41,18,0.100651273,0.196269982,0.063351095,0.012137359,0.005328597
53072,17722,1740,5762,2062,587,218,0.098183049,0.325132604,0.116352556,0.033122672,0.012301095
53073,10259,1003,2105,649,166,48,0.097767814,0.205185691,0.063261526,0.016180914,0.004678819
53074,9100,867,2012,676,191,68,0.095274725,0.221098901,0.074285714,0.020989011,0.007472527
