Zipcode,Male Public,Male Private,Female Public,Female Private,Total Public,Total Private,Private Ratio
53001,58,0,27,4,85,4,0.04494382
53002,56,13,47,2,103,15,0.127118644
53003,19,0,5,0,24,0,0
53004,95,10,119,4,214,14,0.061403509
53005,538,176,319,151,857,327,0.276182432
53006,54,4,50,7,104,11,0.095652174
53007,41,0,12,10,53,10,0.158730159
53010,155,17,204,24,359,41,0.1025
53011,48,16,96,6,144,22,0.13253012
53012,648,83,513,80,1161,163,0.123111782
53013,81,0,115,12,196,12,0.057692308
53014,170,8,286,5,456,13,0.02771855
53015,49,23,51,12,100,35,0.259259259
53016,10,1,1,0,11,1,0.083333333
53017,177,43,95,35,272,78,0.222857143
53018,333,55,180,47,513,102,0.165853659
53019,69,24,38,11,107,35,0.246478873
53020,122,2,152,2,274,4,0.014388489
53021,85,18,124,15,209,33,0.136363636
53022,532,31,581,37,1113,68,0.057578323
53023,153,3,32,10,185,13,0.065656566
53024,363,52,356,47,719,99,0.121026895
53027,627,50,521,73,1148,123,0.096774194
53029,649,91,945,84,1594,175,0.098925947
53032,96,0,159,0,255,0,0
53033,102,39,91,30,193,69,0.263358779
53034,13,0,44,10,57,10,0.149253731
53035,52,12,42,16,94,28,0.229508197
53036,77,32,75,0,152,32,0.173913043
53037,208,80,233,80,441,160,0.266222962
53038,95,8,112,5,207,13,0.059090909
53039,104,15,161,17,265,32,0.107744108
53040,124,22,277,11,401,33,0.076036866
53042,153,11,171,34,324,45,0.12195122
53044,97,4,100,21,197,25,0.112612613
53045,578,145,530,175,1108,320,0.224089636
53046,30,4,19,0,49,4,0.075471698
53048,74,0,91,4,165,4,0.023668639
53049,46,0,75,3,121,3,0.024193548
53050,277,7,200,7,477,14,0.028513238
53051,1041,110,967,140,2008,250,0.110717449
53057,46,5,18,5,64,10,0.135135135
53058,88,13,71,5,159,18,0.101694915
53059,44,8,36,0,80,8,0.090909091
53061,176,8,107,4,283,12,0.040677966
53063,34,6,36,6,70,12,0.146341463
53065,71,22,39,2,110,24,0.179104478
53066,855,161,1081,109,1936,270,0.122393472
53069,12,0,17,0,29,0,0
53070,140,17,139,20,279,37,0.117088608
