"ZIP","STCOUNTYFP"
53964,55001
54494,55001
54943,55001
54457,55001
53910,55001
53952,55001
53920,55001
54646,55001
53965,55001
54921,55001
54966,55001
53934,55001
53936,55001
54613,55001
54930,55001
54855,55003
54846,55003
54514,55003
54546,55003
54850,55003
54856,55003
54559,55003
54517,55003
54527,55003
54806,55003
54861,55003
54805,55005
54004,55005
54813,55005
54841,55005
54857,55005
54728,55005
54733,55005
54870,55005
54812,55005
54889,55005
54817,55005
54829,55005
54826,55005
54005,55005
54868,55005
54762,55005
54757,55005
54822,55005
54763,55005
54832,55007
54891,55007
54838,55007
54814,55007
54839,55007
54847,55007
54844,55007
54827,55007
54865,55007
54856,55007
54873,55007
54821,55007
54820,55007
54806,55007
54816,55007
54173,55009
54208,55009
54165,55009
54155,55009
54313,55009
54217,55009
54130,55009
54308,55009
54344,55009
54311,55009
54302,55009
54324,55009
54110,55009
54115,55009
54229,55009
54304,55009
54230,55009
54126,55009
54301,55009
54305,55009
54180,55009
54307,55009
54162,55009
54303,55009
54756,55011
54755,55011
54622,55011
54610,55011
54738,55011
54629,55011
54612,55011
54747,55011
54743,55011
54736,55011
54853,55013
54830,55013
54813,55013
54893,55013
54859,55013
54840,55013
54801,55013
54845,55013
54871,55013
54837,55013
54024,55013
54872,55013
53014,55015
54129,55015
54915,55015
54123,55015
53062,55015
53061,55015
54169,55015
53088,55015
54110,55015
53042,55015
54130,55015
53049,55015
54160,55015
54952,55015
53020,55015
54703,55017
54748,55017
54727,55017
54433,55017
54726,55017
54739,55017
54732,55017
54745,55017
54757,55017
54774,55017
54724,55017
54768,55017
54766,55017
54729,55017
54730,55017
54420,55019
54436,55019
54479,55019
54746,55019
54768,55019
54425,55019
54422,55019
54771,55019
54741,55019
54449,55019
54437,55019
54498,55019
54456,55019
54405,55019
54466,55019
54446,55019
54488,55019
54754,55019
54493,55019
54421,55019
54460,55019
53578,55021
53901,55021
53911,55021
53926,55021
53954,55021
53913,55021
53955,55021
53561,55021
53923,55021
53928,55021
53969,55021
53925,55021
53932,55021
53957,55021
53960,55021
53956,55021
53583,55021
53555,55021
53965,55021
53935,55021
53532,55021
54624,55023
53518,55023
54654,55023
53826,55023
54626,55023
53805,55023
54631,55023
54628,55023
54657,55023
54665,55023
53821,55023
54655,55023
54645,55023
53531,55025
53714,55025
53718,55025
53594,55025
53911,55025
53516,55025
53596,55025
53527,55025
53597,55025
53575,55025
53706,55025
53583,55025
53708,55025
53555,55025
53534,55025
53574,55025
53777,55025
53544,55025
53523,55025
53515,55025
53711,55025
53726,55025
53560,55025
53571,55025
53788,55025
53960,55025
53590,55025
53558,55025
53716,55025
53521,55025
53508,55025
53703,55025
53705,55025
53713,55025
53559,55025
53598,55025
53725,55025
53572,55025
53715,55025
53717,55025
53784,55025
53702,55025
53528,55025
53593,55025
53529,55025
53532,55025
53589,55025
53704,55025
53562,55025
53701,55025
53707,55025
53744,55025
53507,55025
53792,55025
53719,55025
53925,55025
53517,55025
53783,55025
53039,55027
53963,55027
53078,55027
53003,55027
53036,55027
53557,55027
53594,55027
53916,55027
53925,55027
53032,55027
53059,55027
53099,55027
53016,55027
53946,55027
53094,55027
53034,55027
53956,55027
53091,55027
53010,55027
53048,55027
53933,55027
53006,55027
53035,55027
53932,55027
53066,55027
53050,55027
53098,55027
53922,55027
53027,55027
53579,55027
54226,55029
54209,55029
54213,55029
54210,55029
54204,55029
54246,55029
54217,55029
54205,55029
54211,55029
54202,55029
54212,55029
54201,55029
54235,55029
54234,55029
54873,55031
54820,55031
54864,55031
54842,55031
54859,55031
54836,55031
54880,55031
54830,55031
54890,55031
54838,55031
54849,55031
54874,55031
54854,55031
54751,55033
54027,55033
54730,55033
54749,55033
54013,55033
54767,55033
54735,55033
54757,55033
54772,55033
54762,55033
54721,55033
54739,55033
54740,55033
54763,55033
54005,55033
54728,55033
54765,55033
54725,55033
54734,55033
54737,55033
54736,55033
54701,55033
54703,55033
54755,55033
54764,55033
54758,55035
54768,55035
54727,55035
54701,55035
54702,55035
54703,55035
54720,55035
54722,55035
54738,55035
54755,55035
54726,55035
54729,55035
54739,55035
54742,55035
54741,55035
54770,55035
54121,55037
54151,55037
54542,55037
54103,55037
54120,55037
54935,55039
54971,55039
53946,55039
53023,55039
53057,55039
53040,55039
53010,55039
53019,55039
53919,55039
53049,55039
54964,55039
54937,55039
54979,55039
54936,55039
54904,55039
53065,55039
54974,55039
53931,55039
54932,55039
53963,55039
53079,55039
53048,55039
53014,55039
53006,55039
53011,55039
54566,55041
54541,55041
54521,55041
54103,55041
54520,55041
54104,55041
54465,55041
54562,55041
54542,55041
54511,55041
53518,55043
53554,55043
53821,55043
53820,55043
53827,55043
53802,55043
53817,55043
53804,55043
53812,55043
53809,55043
53825,55043
53808,55043
53569,55043
53813,55043
53818,55043
53801,55043
53573,55043
53824,55043
53807,55043
53811,55043
53816,55043
53543,55043
53806,55043
53805,55043
53810,55043
53570,55045
53508,55045
53521,55045
53502,55045
53574,55045
53550,55045
53572,55045
53522,55045
53516,55045
53566,55045
53504,55045
53520,55045
53923,55047
53947,55047
54923,55047
54968,55047
54941,55047
53926,55047
54960,55047
53919,55047
53946,55047
54971,55047
53949,55047
53939,55047
53956,55047
53503,55049
53506,55049
53565,55049
53533,55049
53516,55049
53595,55049
53580,55049
53572,55049
53582,55049
53569,55049
53544,55049
53554,55049
53553,55049
53517,55049
53818,55049
53535,55049
53573,55049
53526,55049
53515,55049
53507,55049
53588,55049
53543,55049
53560,55049
54514,55051
54536,55051
54534,55051
54552,55051
54525,55051
54550,55051
54559,55051
54565,55051
54547,55051
54611,55053
54466,55053
54627,55053
54615,55053
54659,55053
54741,55053
54746,55053
54644,55053
54754,55053
54758,55053
54642,55053
54666,55053
54635,55053
54616,55053
54643,55053
53038,55055
53538,55055
53594,55055
53156,55055
53534,55055
53047,55055
53551,55055
53119,55055
53549,55055
53036,55055
53190,55055
53137,55055
53563,55055
53178,55055
53066,55055
53098,55055
53118,55055
53094,55055
53523,55055
53559,55055
54618,55057
53965,55057
54641,55057
54634,55057
53941,55057
53944,55057
53950,55057
54666,55057
54638,55057
54457,55057
54637,55057
53962,55057
53948,55057
53968,55057
53929,55057
54646,55057
53104,55059
53143,55059
53179,55059
53105,55059
53403,55059
53101,55059
53158,55059
53168,55059
53140,55059
53144,55059
53128,55059
53192,55059
53177,55059
53102,55059
53139,55059
53159,55059
53194,55059
53170,55059
53109,55059
53182,55059
53142,55059
53181,55059
53152,55059
53141,55059
53171,55059
54205,55061
54216,55061
54208,55061
54217,55061
54201,55061
54213,55061
54636,55063
54650,55063
54602,55063
54623,55063
54601,55063
54669,55063
54644,55063
54653,55063
54619,55063
54642,55063
54656,55063
54614,55063
54658,55063
54603,55063
53516,55065
53530,55065
53599,55065
53803,55065
53818,55065
53811,55065
53541,55065
53510,55065
53504,55065
53586,55065
53565,55065
