"ZIP","COUNTYNAME"
53964,"Adams County"
54494,"Adams County"
54943,"Adams County"
54457,"Adams County"
53910,"Adams County"
53952,"Adams County"
53920,"Adams County"
54646,"Adams County"
53965,"Adams County"
54921,"Adams County"
54966,"Adams County"
53934,"Adams County"
53936,"Adams County"
54613,"Adams County"
54930,"Adams County"
54855,"Ashland County"
54846,"Ashland County"
54514,"Ashland County"
54546,"Ashland County"
54850,"Ashland County"
54856,"Ashland County"
54559,"Ashland County"
54517,"Ashland County"
54527,"Ashland County"
54806,"Ashland County"
54861,"Ashland County"
54805,"Barron County"
54004,"Barron County"
54813,"Barron County"
54841,"Barron County"
54857,"Barron County"
54728,"Barron County"
54733,"Barron County"
54870,"Barron County"
54812,"Barron County"
54889,"Barron County"
54817,"Barron County"
54829,"Barron County"
54826,"Barron County"
54005,"Barron County"
54868,"Barron County"
54762,"Barron County"
54757,"Barron County"
54822,"Barron County"
54763,"Barron County"
54832,"Bayfield County"
54891,"Bayfield County"
54838,"Bayfield County"
54814,"Bayfield County"
54839,"Bayfield County"
54847,"Bayfield County"
54844,"Bayfield County"
54827,"Bayfield County"
54865,"Bayfield County"
54856,"Bayfield County"
54873,"Bayfield County"
54821,"Bayfield County"
54820,"Bayfield County"
54806,"Bayfield County"
54816,"Bayfield County"
54173,"Brown County"
54208,"Brown County"
54165,"Brown County"
54155,"Brown County"
54313,"Brown County"
54217,"Brown County"
54130,"Brown County"
54308,"Brown County"
54344,"Brown County"
54311,"Brown County"
54302,"Brown County"
54324,"Brown County"
54110,"Brown County"
54115,"Brown County"
54229,"Brown County"
54304,"Brown County"
54230,"Brown County"
54126,"Brown County"
54301,"Brown County"
54305,"Brown County"
54180,"Brown County"
54307,"Brown County"
54162,"Brown County"
54303,"Brown County"
54756,"Buffalo County"
54755,"Buffalo County"
54622,"Buffalo County"
54610,"Buffalo County"
54738,"Buffalo County"
54629,"Buffalo County"
54612,"Buffalo County"
54747,"Buffalo County"
54743,"Buffalo County"
54736,"Buffalo County"
54853,"Burnett County"
54830,"Burnett County"
54813,"Burnett County"
54893,"Burnett County"
54859,"Burnett County"
54840,"Burnett County"
54801,"Burnett County"
54845,"Burnett County"
54871,"Burnett County"
54837,"Burnett County"
54024,"Burnett County"
54872,"Burnett County"
53014,"Calumet County"
54129,"Calumet County"
54915,"Calumet County"
