GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US53001,53001,ZCTA5 53001,1954,158,1900,152,0,9,0,9,0,9,0,9,4,5,50,44,0,9,50,44
8600000US53002,53002,ZCTA5 53002,2384,292,2340,283,0,9,0,9,0,9,8,12,0,9,36,42,0,9,36,42
8600000US53003,53003,ZCTA5 53003,158,60,158,60,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
8600000US53004,53004,ZCTA5 53004,3256,172,3050,192,5,7,8,8,78,70,0,9,12,14,103,53,8,11,95,51
8600000US53005,53005,ZCTA5 53005,19898,380,17941,513,257,137,57,41,1299,321,12,18,5,9,327,161,66,93,261,138
8600000US53006,53006,ZCTA5 53006,1723,180,1708,177,8,11,0,9,3,4,0,9,1,4,3,5,0,9,3,5
8600000US53007,53007,ZCTA5 53007,1847,112,1679,136,94,51,0,9,24,36,0,9,0,9,50,45,0,9,50,45
8600000US53010,53010,ZCTA5 53010,7511,238,7318,250,18,16,25,23,23,28,2,3,43,30,82,40,14,11,68,39
8600000US53011,53011,ZCTA5 53011,2341,160,2318,162,1,2,10,12,0,9,0,9,5,5,7,8,0,9,7,8
8600000US53012,53012,ZCTA5 53012,18639,420,17716,508,134,131,33,35,245,117,0,14,78,119,433,171,38,44,395,165
8600000US53013,53013,ZCTA5 53013,3342,289,3228,267,17,25,0,9,37,43,0,9,57,82,3,5,0,9,3,5
8600000US53014,53014,ZCTA5 53014,8000,228,7848,220,23,30,40,25,4,7,0,12,4,6,81,69,0,12,81,69
8600000US53015,53015,ZCTA5 53015,2598,180,2555,175,17,25,0,9,12,17,0,9,6,9,8,8,5,6,3,6
