GEO.id2,HD01_VD17,HD01_VD18,HD01_VD41,HD01_VD42
Id2,Male Public,Male Private,Female Public,Female Private
55,140846,14210,134004,13574
53001,58,0,27,4
53002,56,13,47,2
53003,19,0,5,0
53004,95,10,119,4
53005,538,176,319,151
53006,54,4,50,7
53007,41,0,12,10
53010,155,17,204,24
53011,48,16,96,6
53012,648,83,513,80
53013,81,0,115,12
53014,170,8,286,5
53015,49,23,51,12
53016,10,1,1,0
53017,177,43,95,35
53018,333,55,180,47
53019,69,24,38,11
53020,122,2,152,2
53021,85,18,124,15
53022,532,31,581,37
53023,153,3,32,10
53024,363,52,356,47
53027,627,50,521,73
53029,649,91,945,84
53031,0,0,0,0
53032,96,0,159,0
53033,102,39,91,30
53034,13,0,44,10
53035,52,12,42,16
53036,77,32,75,0
53037,208,80,233,80
53038,95,8,112,5
53039,104,15,161,17
53040,124,22,277,11
53042,153,11,171,34
53044,97,4,100,21
53045,578,145,530,175
53046,30,4,19,0
53047,0,0,0,0
53048,74,0,91,4
53049,46,0,75,3
53050,277,7,200,7
53051,1041,110,967,140
53057,46,5,18,5
53058,88,13,71,5
53059,44,8,36,0
53061,176,8,107,4
53063,34,6,36,6
53065,71,22,39,2
53066,855,161,1081,109
53069,12,0,17,0
53070,140,17,139,20
53072,590,64,701,120
53073,404,26,279,54
53074,309,12,373,0
53075,136,7,75,6
53076,88,20,127,20
53078,29,9,39,22
53079,20,2,23,0
53080,199,15,83,22
53081,1004,79,958,85
53083,566,92,607,12
53085,321,13,219,14
53086,217,0,260,10
53088,16,0,9,5
53089,485,69,550,30
53090,559,39,411,36
53091,47,0,28,0
53092,527,133,687,158
53093,49,8,35,18
53094,501,22,465,67
53095,912,133,528,131
53097,66,15,190,28
53098,174,29,256,16
53103,89,10,88,8
53104,165,4,93,28
53105,664,63,687,100
53108,64,34,13,0
53110,414,20,334,0
53114,85,23,87,21
53115,500,25,324,8
53118,193,10,250,0
53119,218,5,92,0
53120,241,15,257,11
53121,572,13,471,20
53122,103,39,147,49
53125,48,4,37,7
53126,321,59,165,112
53128,377,50,274,4
53129,199,35,269,107
53130,313,17,130,38
53132,747,96,894,189
53137,43,0,57,0
53139,23,3,59,8
53140,593,7,712,36
53142,980,57,675,21
53143,738,49,675,34
53144,902,20,794,23
53146,151,41,94,23
53147,319,39,401,0
53149,561,30,620,18
53150,716,104,596,35
