GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
8600000US53001,53001,ZCTA5 53001,1421,103,3,5,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,21,19,0,9,38,34,22,10,21,14,540,78,62,20,103,30,184,39,186,44,180,46,42,18,11,11,6,5
8600000US53002,53002,ZCTA5 53002,1616,189,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,27,36,3,6,2,3,11,11,443,134,35,43,253,112,198,87,243,108,341,99,50,39,0,9,6,7
8600000US53003,53003,ZCTA5 53003,102,43,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,7,7,9,0,9,0,9,4,6,53,28,13,13,0,9,5,8,6,8,4,7,5,7,0,9,0,9
8600000US53004,53004,ZCTA5 53004,2133,123,4,5,0,9,0,9,3,4,0,9,0,9,0,9,4,7,5,9,5,8,35,21,12,8,10,10,10,8,29,23,594,71,56,24,85,26,290,76,332,66,500,96,131,56,18,12,10,8
8600000US53005,53005,ZCTA5 53005,14101,289,88,44,9,14,0,14,0,14,0,14,0,14,20,31,3,6,15,18,15,31,38,32,48,38,58,32,106,51,89,47,1967,237,227,64,624,124,1659,246,1035,158,4791,314,2172,275,813,130,324,109
8600000US53006,53006,ZCTA5 53006,1193,101,5,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,3,4,16,10,16,10,11,8,460,71,30,13,87,23,120,32,176,46,186,32,64,23,8,10,7,6
8600000US53007,53007,ZCTA5 53007,1393,94,5,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,6,7,1,3,10,10,20,22,29,26,24,14,428,87,85,42,161,50,156,48,125,51,273,65,66,27,4,7,0,9
8600000US53010,53010,ZCTA5 53010,5337,159,26,13,0,12,0,12,0,12,0,12,0,12,0,12,5,9,11,11,0,12,63,27,42,26,79,34,80,30,127,29,2137,125,176,43,442,67,603,79,666,94,586,86,263,85,15,9,16,12
8600000US53011,53011,ZCTA5 53011,1693,115,14,10,0,9,0,9,6,9,0,9,0,9,0,9,0,9,3,4,0,9,12,11,12,11,14,9,18,11,23,10,597,64,75,30,174,49,201,41,201,35,262,41,67,28,7,8,7,7
8600000US53012,53012,ZCTA5 53012,13089,413,39,26,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,52,36,19,19,60,42,62,47,73,49,2575,323,175,92,689,157,1365,240,1153,253,4158,371,1906,261,616,182,147,74
8600000US53013,53013,ZCTA5 53013,2261,176,17,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,6,9,0,9,0,9,16,14,43,25,15,13,18,17,698,90,46,35,173,47,337,64,291,79,373,66,196,53,23,15,9,10
8600000US53014,53014,ZCTA5 53014,5707,190,10,10,0,12,0,12,4,7,0,12,0,12,0,12,0,12,35,35,35,34,108,57,59,58,73,46,101,54,61,46,2051,189,162,65,386,83,738,169,802,139,851,167,209,60,14,11,8,10
8600000US53015,53015,ZCTA5 53015,1813,109,61,65,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,24,14,18,21,30,22,24,18,32,15,512,69,67,27,129,36,252,45,235,40,285,50,105,28,21,11,18,11
8600000US53016,53016,ZCTA5 53016,296,72,1,2,0,9,0,9,0,9,0,9,0,9,2,3,0,9,2,3,0,9,2,3,3,7,7,6,3,4,4,4,126,36,26,13,18,10,41,22,34,25,26,21,1,2,0,9,0,9
8600000US53017,53017,ZCTA5 53017,4038,332,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,13,18,28,10,15,0,12,17,20,980,273,39,37,268,99,600,166,496,144,1062,200,413,121,104,63,23,37
8600000US53018,53018,ZCTA5 53018,5668,360,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,20,0,12,27,22,9,13,0,12,43,43,89,57,942,183,79,55,293,89,763,160,395,108,1905,213,861,146,176,71,73,40
8600000US53019,53019,ZCTA5 53019,1376,93,20,13,0,9,0,9,0,9,4,7,0,9,0,9,0,9,3,5,0,9,18,10,15,9,34,26,20,12,8,8,511,63,39,15,119,27,208,39,182,30,146,37,40,19,7,7,2,3
8600000US53020,53020,ZCTA5 53020,2786,147,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,34,20,9,8,22,13,46,24,25,13,959,109,41,19,197,45,426,75,311,55,507,74,163,49,22,14,20,12
