zip code,Total,White,Black/African American,Asian,whiteRatio,balckRatio,asianRatio
53001,1954,1900,0,0,0.972364381,0,0
53002,2384,2340,0,0,0.981543624,0,0
53003,158,158,0,0,1,0,0
53004,3256,3050,5,78,0.936732187,0.001535627,0.023955774
53005,19898,17941,257,1299,0.901648407,0.012915871,0.065282943
53006,1723,1708,8,3,0.991294254,0.004643064,0.001741149
53007,1847,1679,94,24,0.909041689,0.050893341,0.012994044
53010,7511,7318,18,23,0.974304354,0.002396485,0.003062175
53011,2341,2318,1,0,0.990175139,0.000427168,0
53012,18639,17716,134,245,0.950480176,0.007189227,0.013144482
53013,3342,3228,17,37,0.965888689,0.005086774,0.011071215
53014,8000,7848,23,4,0.981,0.002875,0.0005
53015,2598,2555,17,12,0.983448807,0.006543495,0.004618938
53016,377,314,43,5,0.832891247,0.114058355,0.013262599
53017,5621,5423,40,26,0.964774951,0.007116171,0.004625511
53018,7983,7491,136,47,0.938369034,0.017036202,0.005887511
53019,1874,1799,3,22,0.959978655,0.001600854,0.011739594
53020,3720,3710,0,1,0.997311828,0,0.000268817
53021,5018,4728,32,8,0.942208051,0.006377043,0.001594261
53022,19216,17508,375,735,0.911115737,0.019514988,0.038249376
53023,2488,2004,323,6,0.805466238,0.129823151,0.002411576
53024,16812,15750,221,480,0.936830835,0.013145372,0.028551035
53027,22578,21760,121,152,0.963770042,0.005359199,0.006732217
53029,20927,20180,93,261,0.964304487,0.00444402,0.012471926
53031,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
53032,4843,4701,103,13,0.970679331,0.021267809,0.002684287
53033,5101,4980,12,30,0.976279161,0.00235248,0.0058812
53034,1697,1662,0,0,0.979375368,0,0
53035,2415,2376,21,0,0.983850932,0.008695652,0
53036,3078,2953,20,0,0.959389214,0.006497726,0
53037,9529,9296,97,80,0.975548326,0.010179452,0.008395424
53038,4282,4113,19,67,0.960532461,0.004437179,0.015646894
53039,4595,4420,7,13,0.961915125,0.001523395,0.002829162
53040,8005,7660,260,6,0.956901936,0.0324797,0.000749532
53042,6806,6733,25,10,0.98927417,0.00367323,0.001469292
53044,2381,2298,3,32,0.965140697,0.001259975,0.013439731
53045,21292,18326,116,2426,0.860698854,0.005448056,0.113939508
53046,1132,1105,23,0,0.97614841,0.020318021,0
53047,41,41,0,0,1,0,0
53048,3177,3076,0,0,0.968209002,0,0
53049,2952,2940,0,0,0.995934959,0,0
53050,6808,6617,41,66,0.971944771,0.006022327,0.009694477
53051,36431,32548,1134,2024,0.893414949,0.031127337,0.055557081
53057,1621,1613,1,0,0.995064775,0.000616903,0
53058,3519,3395,0,51,0.964762717,0,0.014492754
53059,1863,1800,12,0,0.966183575,0.006441224,0
53061,5212,5122,34,0,0.982732157,0.006523408,0
53063,1664,1578,14,9,0.948317308,0.008413462,0.005408654
53065,2299,2160,23,24,0.93953893,0.01000435,0.010439321
53066,34677,33228,368,298,0.958214378,0.010612221,0.008593592
53069,731,685,46,0,0.937072503,0.062927497,0
53070,5040,4936,38,16,0.979365079,0.007539683,0.003174603
53072,25102,23588,252,979,0.939686081,0.010039041,0.039000876
53073,14567,14046,149,107,0.964234228,0.010228599,0.00734537
53074,13014,12674,90,48,0.973874289,0.006915629,0.003688336
53075,3111,3021,0,24,0.971070395,0,0.007714561
53076,3543,3456,0,0,0.975444539,0,0
53078,1701,1685,0,7,0.990593768,0,0.004115226
53079,1420,1400,0,5,0.985915493,0,0.003521127
53080,5831,5546,72,32,0.951123306,0.012347796,0.005487909
53081,42496,34786,1150,4260,0.81857116,0.02706137,0.100244729
53083,20344,17803,138,1542,0.875098309,0.006783327,0.075796304
53085,11301,10819,48,165,0.957348907,0.004247412,0.014600478
53086,8391,8243,22,26,0.982362055,0.002621857,0.003098558
53088,434,416,0,0,0.958525346,0,0
53089,19341,18412,135,423,0.951967323,0.006979991,0.021870638
53090,21972,21115,170,79,0.960995813,0.00773712,0.003595485
53091,1829,1745,68,3,0.954073264,0.037178786,0.001640241
53092,21212,19851,320,565,0.935838205,0.0150858,0.026635866
53093,2022,1958,13,16,0.96834817,0.006429278,0.007912957
53094,19139,18121,146,110,0.946810178,0.007628403,0.005747427
53095,27201,25762,428,437,0.947097533,0.015734716,0.016065586
53097,5757,5100,326,298,0.885878061,0.056626715,0.051763071
53098,11690,10658,275,64,0.911719418,0.02352438,0.005474765
53103,3772,3656,4,13,0.969247084,0.001060445,0.003446448
53104,5186,5049,55,45,0.973582723,0.010605476,0.008677208
53105,29215,28053,341,97,0.960225911,0.011672086,0.003320212
53108,3257,3109,10,0,0.954559411,0.00307031,0
53110,18683,16997,555,118,0.909757534,0.02970615,0.006315902
53114,2948,2817,26,10,0.955563094,0.008819539,0.00339213
53115,16180,14950,146,188,0.923980222,0.009023486,0.011619283
53118,7367,7094,22,39,0.962942853,0.00298629,0.005293878
53119,5643,5425,0,0,0.961368067,0,0
53120,9530,9079,101,55,0.952675761,0.010598111,0.005771249
53121,18597,17731,189,182,0.953433349,0.01016293,0.009786525
53122,6127,5809,0,169,0.94809858,0,0.02758283
53125,1837,1776,16,4,0.966793685,0.008709853,0.002177463
53126,7314,7034,155,10,0.961717255,0.021192234,0.001367241
53128,8973,8495,44,75,0.946729076,0.0049036,0.008358409
53129,14248,12736,243,509,0.893879843,0.017055025,0.035724312
53130,7754,7285,87,211,0.939515089,0.011220015,0.027211762
53132,35795,30128,1944,2424,0.841681799,0.054309261,0.067718955
53137,1637,1601,0,3,0.978008552,0,0.001832621
53139,2699,2595,6,19,0.96146721,0.002223046,0.007039644
53140,29355,23796,3577,144,0.810628513,0.121853177,0.004905468
53142,31700,26864,1935,958,0.847444795,0.061041009,0.03022082
53143,24311,19003,3198,92,0.781662622,0.131545391,0.003784295
53144,27268,22179,3223,227,0.813370984,0.118197154,0.008324776
53146,7930,7643,0,220,0.963808323,0,0.027742749
53147,16797,15719,29,204,0.935821873,0.001726499,0.012145026
53149,19627,18709,295,153,0.953227697,0.015030315,0.007795384
53150,25294,24529,48,227,0.969755673,0.001897683,0.00897446
53151,31719,29257,299,1552,0.922380907,0.009426527,0.048929664
53153,2411,2323,0,0,0.963500622,0,0
53154,35588,30473,1297,2359,0.856271777,0.036444869,0.066286389
53156,2979,2815,0,1,0.944947969,0,0.000335683
53158,16936,15266,304,574,0.901393481,0.017949929,0.0338923
53167,781,781,0,0,1,0,0
53168,8521,8165,101,108,0.958220866,0.011853069,0.012674569
53170,2529,2423,0,50,0.9580862,0,0.01977066
53172,21185,19374,614,160,0.914514987,0.028982771,0.007552514
53177,8378,6961,908,126,0.830866555,0.108379088,0.015039389
53178,2810,2735,3,3,0.973309609,0.001067616,0.001067616
53179,6930,6695,28,0,0.966089466,0.004040404,0
53181,7450,7317,28,40,0.982147651,0.003758389,0.005369128
53182,9606,8923,220,29,0.928898605,0.022902353,0.003018946
53183,2797,2688,24,41,0.961029675,0.008580622,0.014658563
53184,4317,4005,18,4,0.927727589,0.004169562,0.000926569
53185,18935,18136,43,165,0.95780301,0.002270927,0.008714022
53186,33793,29685,1131,1249,0.878436363,0.03346847,0.036960317
53188,35524,31963,1209,786,0.89975791,0.03403333,0.022125887
53189,26093,24026,371,591,0.920783352,0.014218373,0.022649753
53190,19401,17473,574,344,0.900623679,0.029586104,0.017731045
53191,2798,2661,22,35,0.951036455,0.007862759,0.012508935
53192,50,50,0,0,1,0,0
53195,108,84,0,0,0.777777778,0,0
53202,24641,20336,1834,1353,0.825291181,0.074428798,0.054908486
53203,1403,1142,149,74,0.813970064,0.106200998,0.05274412
53204,38892,14331,4358,520,0.36848195,0.112053893,0.013370359
53205,9646,480,8150,586,0.049761559,0.844909807,0.06075057
53206,23827,459,22698,150,0.01926386,0.952616779,0.006295379
53207,37208,32498,756,678,0.87341432,0.020318211,0.018221888
53208,30354,10541,14512,2411,0.347268894,0.47809185,0.0794294
53209,45583,11084,31497,724,0.243160828,0.690981287,0.015883114
53210,26837,5662,19389,503,0.210977382,0.722472706,0.01874278
53211,35747,30436,1927,1555,0.851428092,0.053906622,0.043500154
53212,31408,12805,15887,341,0.407698675,0.505826541,0.010857106
53213,27197,23684,1439,1084,0.870831342,0.052910247,0.039857337
53214,35248,28816,2534,738,0.817521562,0.071890604,0.020937358
53215,62134,40690,3929,1866,0.654874948,0.0632343,0.030031867
53216,33707,3734,27502,496,0.110778177,0.815913608,0.014715044
53217,29418,25579,1140,1691,0.869501666,0.038751785,0.057481814
53218,42430,5570,29772,4845,0.131275041,0.701673344,0.114188074
53219,34432,29116,1778,452,0.845608736,0.051638011,0.013127323
53220,26118,22128,1204,1021,0.847231794,0.046098476,0.039091814
53221,40945,33202,2340,2299,0.810892661,0.057149835,0.056148492
53222,26328,16933,7026,1023,0.643155576,0.266864175,0.038855971
53223,29435,10485,14790,2658,0.356208595,0.502463054,0.090300662
53224,21607,6835,11767,1031,0.31633267,0.54459203,0.047716018
53225,26070,8835,14262,1481,0.338895282,0.547065593,0.056808592
53226,19137,16708,609,913,0.873073104,0.03182317,0.047708627
53227,23763,20458,1349,908,0.860918234,0.056768926,0.038210664
53228,15162,13409,250,708,0.884382008,0.01648859,0.046695687
53233,15376,8454,4846,880,0.549817898,0.315166493,0.05723205
53235,9172,8126,234,354,0.885957261,0.025512429,0.038595726
53295,194,139,44,0,0.716494845,0.226804124,0
53402,32737,27197,3028,363,0.83077252,0.092494731,0.011088371
53403,26209,16134,6537,146,0.615590064,0.249418139,0.005570606
53404,15614,7847,4374,186,0.502561804,0.280133214,0.011912386
53405,24727,18421,3607,410,0.744975128,0.145872932,0.016581065
53406,26582,21774,2488,848,0.819125724,0.093597171,0.031901287
53501,264,264,0,0,1,0,0
53502,2408,2246,36,17,0.932724252,0.014950166,0.007059801
53503,1984,1913,18,3,0.96421371,0.009072581,0.001512097
53504,2017,1990,0,11,0.986613783,0,0.005453644
53505,441,432,0,0,0.979591837,0,0
53506,1020,988,10,0,0.968627451,0.009803922,0
53507,2255,2123,39,4,0.941463415,0.0172949,0.001773836
53508,5407,5229,22,35,0.967079711,0.0040688,0.00647309
53510,1459,1349,4,18,0.924605894,0.002741604,0.012337217
53511,48721,37904,5418,702,0.777980748,0.111204614,0.014408571
53515,2180,2121,11,5,0.97293578,0.005045872,0.002293578
53516,2343,2306,0,8,0.98420828,0,0.003414426
53517,1791,1694,20,17,0.945840313,0.011166946,0.009491904
53518,1376,1309,31,0,0.95130814,0.02252907,0
53520,6474,6240,0,74,0.963855422,0,0.011430337
53521,3763,3630,32,17,0.96465586,0.008503853,0.004517672
53522,1103,1092,0,0,0.990027199,0,0
53523,4817,4700,28,4,0.975711023,0.005812747,0.000830392
53525,4054,3624,33,19,0.893931919,0.008140109,0.004686729
53526,573,573,0,0,1,0,0
53527,10945,10022,43,528,0.915669255,0.003928735,0.048241206
53528,5977,5809,0,32,0.971892254,0,0.005353856
53529,2063,1934,10,60,0.937469704,0.00484731,0.029083858
53530,4527,4385,35,0,0.968632649,0.007731389,0
53531,4532,4298,109,11,0.948367167,0.024051192,0.002427184
53532,14747,13858,93,365,0.939716553,0.006306367,0.024750797
53533,7211,7045,11,111,0.976979614,0.001525447,0.015393149
53534,11942,11325,189,139,0.948333612,0.015826495,0.011639591
53536,8872,8603,42,15,0.969679892,0.004733995,0.001690712
53537,749,740,7,0,0.987983979,0.009345794,0
53538,18836,17485,191,113,0.928275642,0.010140157,0.005999151
53540,276,194,0,0,0.702898551,0,0
53541,900,867,4,18,0.963333333,0.004444444,0.02
53543,1739,1690,12,6,0.971822887,0.006900518,0.003450259
53544,698,694,0,0,0.994269341,0,0
53545,22845,21476,521,170,0.940074415,0.022805866,0.007441453
53546,31128,28719,449,460,0.922609869,0.014424313,0.014777692
53548,18553,17064,291,317,0.919743438,0.015684795,0.017086186
53549,10303,9797,141,81,0.950888091,0.013685334,0.007861788
53550,1166,1157,0,0,0.992281304,0,0
53551,8453,7903,51,54,0.934934343,0.006033361,0.006388265
53553,534,534,0,0,1,0,0
53554,1240,1170,8,0,0.943548387,0.006451613,0
53555,8356,8016,56,93,0.959310675,0.006701771,0.011129727
53556,2550,2403,20,15,0.942352941,0.007843137,0.005882353
53557,342,333,0,0,0.973684211,0,0
53558,11638,11112,210,131,0.954803231,0.018044338,0.01125623
53559,6129,5820,75,27,0.949583945,0.012236907,0.004405286
53560,3639,3468,30,18,0.953009068,0.008244023,0.004946414
53561,1795,1749,8,2,0.974373259,0.004456825,0.001114206
53562,25508,21140,1397,1732,0.828759605,0.054767132,0.067900267
53563,10958,10529,159,67,0.96085052,0.014509947,0.006114254
53565,4798,4593,51,23,0.957273864,0.010629429,0.004793664
53566,15122,14520,56,101,0.960190451,0.003703214,0.006679011
53569,1386,1346,19,4,0.971139971,0.013708514,0.002886003
53570,2610,2572,2,3,0.985440613,0.000766284,0.001149425
53571,302,261,13,0,0.864238411,0.043046358,0
53572,10688,10251,137,57,0.959113024,0.012818114,0.005333084
53573,3070,3004,7,4,0.978501629,0.00228013,0.001302932
53574,3868,3816,17,24,0.98655636,0.004395036,0.006204757
53575,16211,14717,906,51,0.907840355,0.055887977,0.003146012
53576,2277,2199,11,15,0.965744401,0.004830918,0.006587615
53577,1437,1408,10,8,0.979819068,0.006958942,0.005567154
53578,6418,6233,12,0,0.971174821,0.001869741,0
53579,1790,1736,19,2,0.969832402,0.010614525,0.001117318
53580,550,546,0,0,0.992727273,0,0
53581,10193,9883,100,69,0.969586971,0.009810654,0.006769352
53582,1092,1020,0,0,0.934065934,0,0
53583,5888,5551,13,6,0.942764946,0.00220788,0.001019022
53585,2284,2058,4,0,0.901050788,0.001751313,0
53586,2226,2180,3,0,0.97933513,0.001347709,0
53587,1194,1143,1,0,0.957286432,0.000837521,0
53588,3978,3812,8,18,0.958270488,0.002011061,0.004524887
53589,20178,18936,466,206,0.938447814,0.023094459,0.010209139
53590,39227,33174,2506,1804,0.845693018,0.063884569,0.045988732
53593,22659,20367,707,961,0.89884814,0.03120173,0.042411404
53594,5069,4753,16,18,0.937660288,0.003156441,0.003550996
53597,18723,17733,93,312,0.947123858,0.004967153,0.016663996
53598,2486,2201,18,196,0.885358005,0.007240547,0.078841512
53599,52,52,0,0,1,0,0
53702,26,26,0,0,1,0,0
53703,31370,27637,831,1605,0.881000956,0.026490277,0.051163532
53704,45528,34784,5010,3155,0.764013354,0.110042172,0.069298014
53705,25066,18818,633,4082,0.750738052,0.025253331,0.162850076
