GEO.id2,HC02_EST_VC17
Id2,Percent; Estimate; Percent high school graduate or higher
55,91.7
53001,92.5
53002,97.1
53003,84.3
53004,94.5
53005,96.5
53006,95.4
53007,93.2
53010,91.9
53011,94
53012,97.7
53013,94.9
53014,91.5
53015,89.6
53016,91.9
53017,98.7
53018,96.8
53019,91.1
53020,95
53021,93.8
53022,95.2
53023,92.7
53024,96.4
53027,93.8
53029,97.4
53031,-
53032,91.4
53033,94.9
53034,93.1
53035,92.6
53036,95.6
53037,94.1
53038,92.9
53039,90.6
53040,92.6
53042,94.1
53044,99.1
53045,97.5
53046,96.8
53047,93.8
53048,88.3
53049,92.5
53050,88.9
53051,95.8
53057,87.3
53058,98.8
53059,92.1
53061,89.6
53063,89.7
53065,92.7
53066,96.3
53069,95
53070,94.3
53072,97.9
53073,93.5
53074,94.8
53075,91.6
53076,96.5
53078,93.9
53079,92.2
53080,92.5
53081,88.7
53083,95.9
53085,93.5
53086,93.8
53088,96.6
53089,96.5
53090,94
53091,90.7
53092,97.4
53093,96.4
53094,92.2
53095,94
53097,96.8
53098,90.5
53103,96.3
53104,94.3
53105,92.9
53108,88.1
53110,90.5
53114,87.4
53115,84.4
53118,93.9
53119,97.5
53120,95.2
53121,91.9
53122,96.6
53125,97
53126,94.8
53128,93.1
53129,96.8
53130,95.1
53132,92.9
53137,95.5
53139,94.7
53140,86.6
53142,92
53143,89.1
53144,89.3
53146,95.5
53147,91.4
53149,97.8
53150,96.3
53151,96
53153,96.4
53154,94.9
53156,91
53158,92.7
53167,95.3
53168,92.1
53170,91.2
53172,90.9
53177,88.6
53178,93.4
53179,89.4
53181,93.8
53182,89.9
53183,96.5
53184,88.2
53185,94.9
53186,92.1
53188,94.5
53189,95.2
53190,90.9
53191,94.2
53192,100
53195,84.6
53202,95.9
53203,98
53204,59
53205,76.6
53206,72.5
53207,92.7
53208,84.1
53209,85.8
53210,84
53211,97.5
53212,85.1
53213,97.6
53214,89.1
53215,67.1
53216,86.7
53217,97.6
53218,82.3
53219,90
53220,90.6
53221,86.5
53222,92.2
53223,87
53224,89.1
53225,87.5
53226,97.5
53227,91.1
53228,92.5
53233,75.4
53235,89.9
53295,88.5
53402,91.8
53403,79.4
53404,79
53405,90.7
53406,92.2
53501,100
53502,92.8
53503,90.1
53504,91.8
53505,88.7
53506,89.7
53507,97.5
53508,96.9
53510,92.7
53511,85
53515,95.8
53516,95
53517,94.5
53518,92.5
53520,90.8
53521,96
53522,91.7
53523,96.1
53525,88.6
53526,97.2
53527,94.9
53528,97.7
53529,90.3
53530,88
53531,95.6
53532,97.2
53533,94.2
53534,93.4
53536,95.5
53537,80
53538,89.9
53540,83
53541,91.4
53543,93.8
53544,96.4
53545,91.3
53546,94.2
53548,89.9
53549,90.8
53550,89.6
53551,91.9
53553,88.9
53554,88.2
53555,94.4
53556,87.8
53557,85.8
53558,97.9
53559,89
53560,95.1
53561,95.9
53562,97.4
53563,93.5
53565,94.7
53566,91.2
53569,93.2
53570,93.7
53571,92.3
53572,97.7
53573,86.9
53574,95
53575,96.4
53576,89.8
53577,93.2
53578,96.2
53579,86.8
53580,89.8
53581,92
53582,92.9
53583,94.6
53585,85.1
53586,89
53587,86.9
53588,92.8
53589,94.1
53590,96.1
53593,98.5
53594,86.7
53597,97.6
53598,94.8
53599,83.9
53702,100
53703,96
53704,93.7
53705,98.2
53706,100
53711,95.9
53713,85.1
53714,92
53715,93.1
53716,95.6
53717,98.6
53718,94.9
53719,97.2
53726,99
53792,-
53801,92.1
53802,87.5
53803,91.5
53804,92.8
53805,85.2
53806,91.1
53807,94.4
53808,95.2
53809,90.6
53810,92.4
53811,94.1
53813,92.1
53816,88.9
53817,92.1
53818,94.5
53820,90.8
53821,90.6
53825,82.5
53826,95
53827,74.3
53901,91.8
53910,82
53911,97.7
53913,91
53916,90.5
53919,91.6
53920,91.6
53922,89.5
53923,84.2
53924,86.7
53925,94.2
53926,74.9
53928,91
53929,84.1
