"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","0","10","50","0","2017","A","",124881,1936819,89088710816,14933112889,219228261,885,45997,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2571,2.1,21513,1.1,3222071166,3.8,314783334,2.2,-16634116,-7.1,23,2.7,1165,2.6
"01000","1","10","51","0","2017","A","",1208,53131,4339038631,0,0,1571,81668,"",1.59,1.41,1.72,0.00,0.00,1.22,1.22,"",14,1.2,-175,-0.3,84871435,2.0,0,0.0,0,0.0,36,2.3,1861,2.3
"01000","2","10","51","0","2017","A","",1385,95962,5035600541,54705,323,1009,52475,"",1.57,1.54,1.65,0.00,0.00,1.07,1.07,"",20,1.5,1153,1.2,169479110,3.5,-1619,-2.9,-10,-3.0,22,2.2,1150,2.2
"01000","3","10","51","0","2017","A","",3716,212955,8738722552,131021157,1274490,789,41036,"",1.73,1.13,1.12,0.64,1.13,0.99,0.99,"",-3,-0.1,1307,0.6,290316378,3.4,476139,0.4,-108129,-7.8,21,2.7,1119,2.8
"01000","5","10","51","0","2017","A","",118573,1574772,70975349092,14802037027,217953448,867,45070,"",0.98,0.96,0.94,1.01,1.00,0.98,0.98,"",2540,2.2,19230,1.2,2677404243,3.9,314308814,2.2,-16525977,-7.0,23,2.7,1164,2.7
"01000","8","10","96","0","2017","A","",6308,362047,18113361724,131075862,1274813,962,50030,"",1.67,1.25,1.35,0.45,1.01,1.08,1.08,"",30,0.5,2283,0.6,544666923,3.1,474520,0.4,-108139,-7.8,23,2.4,1196,2.4
"01001","0","10","70","0","2017","A","",870,10823,403973438,72224037,1020409,718,37327,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,1.2,84,0.8,13430297,3.4,-1479679,-2.0,-79257,-7.2,19,2.7,961,2.6
"01001","1","10","71","0","2017","A","",12,85,4307798,0,0,971,50482,"",2.27,0.40,0.38,0.00,0.00,0.93,0.93,"",0,0.0,4,4.9,177466,4.3,0,0.0,0,0.0,-8,-0.8,-405,-0.8
"01001","2","10","71","0","2017","A","",19,583,24788463,0,0,818,42513,"",3.09,1.67,1.80,0.00,0.00,1.07,1.07,"",0,0.0,34,6.2,1603598,6.9,0,0.0,0,0.0,6,0.7,288,0.7
"01001","3","10","71","0","2017","A","",32,1909,69841574,131010,773,704,36593,"",2.14,1.81,1.97,0.13,0.15,1.09,1.09,"",0,0.0,-7,-0.4,1926847,2.8,6415,5.1,38,5.2,22,3.2,1155,3.3
"01001","5","10","71","0","2017","A","",807,8246,305035603,72093027,1019636,711,36993,"",0.96,0.90,0.89,1.02,1.01,0.99,0.99,"",9,1.1,53,0.6,9722386,3.3,-1486094,-2.0,-79295,-7.2,18,2.6,947,2.6
"01003","0","10","70","0","2017","A","",6072,71999,2542347527,589307215,7577641,679,35311,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",250,4.3,1892,2.7,136347646,5.7,21981601,3.9,-583739,-7.2,19,2.9,992,2.9
"01003","1","10","71","0","2017","A","",32,346,20092870,0,0,1118,58114,"",0.87,0.25,0.28,0.00,0.00,1.13,1.13,"",0,0.0,5,1.5,276923,1.4,0,0.0,0,0.0,-1,-0.1,-83,-0.1
"01003","2","10","71","0","2017","A","",39,1223,45680056,0,0,718,37361,"",0.91,0.53,0.53,0.00,0.00,1.00,1.00,"",3,8.3,67,5.8,1831043,4.2,0,0.0,0,0.0,-11,-1.5,-557,-1.5
"01003","3","10","71","0","2017","A","",84,7825,318226041,4627059,28867,782,40670,"",0.80,1.11,1.43,0.58,0.74,1.28,1.28,"",0,0.0,133,1.7,12020129,3.9,321850,7.5,2250,8.5,16,2.1,863,2.2
"01003","5","10","71","0","2017","A","",5918,62606,2158348560,584680156,7548774,663,34475,"",1.01,1.02,1.00,1.01,1.00,0.98,0.98,"",249,4.4,1688,2.8,122219551,6.0,21659751,3.8,-585989,-7.2,20,3.1,1051,3.1
"01005","0","10","70","0","2017","A","",555,8012,286429822,61218412,852916,688,35752,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.7,75,0.9,5861096,2.1,1205547,2.0,-103891,-10.9,8,1.2,403,1.1
"01005","1","10","71","0","2017","A","",8,53,3014702,0,0,1092,56792,"",2.37,0.34,0.37,0.00,0.00,1.09,1.09,"",0,0.0,-1,-1.9,49557,1.7,0,0.0,0,0.0,34,3.2,1797,3.3
"01005","2","10","71","0","2017","A","",18,600,24864095,0,0,797,41457,"",4.59,2.33,2.54,0.00,0.00,1.09,1.09,"",-1,-5.3,-3,-0.5,609710,2.5,0,0.0,0,0.0,23,3.0,1217,3.0
"01005","3","10","71","0","2017","A","",32,938,32778900,707617,13719,672,34955,"",3.35,1.20,1.31,0.85,3.13,1.09,1.09,"",0,0.0,8,0.9,1252728,4.0,31049,4.6,1456,11.9,20,3.1,1065,3.1
"01005","5","10","71","0","2017","A","",498,6421,225772125,60510795,839197,676,35161,"",0.93,0.94,0.93,1.01,0.99,0.98,0.98,"",6,1.2,71,1.1,3949101,1.8,1174498,2.0,-105347,-11.2,4,0.6,229,0.7
"01007","0","10","70","0","2017","A","",364,4110,163743155,27157206,452337,766,39843,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,6.7,-34,-0.8,983524,0.6,-810559,-2.9,-54073,-10.7,11,1.5,569,1.4
"01007","1","10","71","0","2017","A","",9,71,4626074,0,0,1249,64927,"",4.07,0.89,1.00,0.00,0.00,1.12,1.12,"",0,0.0,-3,-4.1,-6210,-0.1,0,0.0,0,0.0,48,4.0,2469,4.0
"01007","2","10","71","0","2017","A","",13,216,10142884,0,0,903,46958,"",5.05,1.63,1.81,0.00,0.00,1.11,1.11,"",1,8.3,-12,-5.3,-84113,-0.8,0,0.0,0,0.0,40,4.6,2070,4.6
"01007","3","10","71","0","2017","A","",31,978,31995217,461704,4894,629,32726,"",4.96,2.44,2.23,1.25,2.10,0.91,0.92,"",0,0.0,4,0.4,598445,1.9,-77458,-14.4,-835,-14.6,9,1.5,488,1.5
"01007","5","10","71","0","2017","A","",311,2845,116978980,26695502,447443,791,41120,"",0.88,0.81,0.84,1.00,0.99,1.03,1.03,"",22,7.6,-23,-0.8,475402,0.4,-733101,-2.7,-53238,-10.6,10,1.3,503,1.2
"01009","0","10","70","0","2017","A","",772,8327,288221287,58441369,675124,666,34611,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",16,2.1,180,2.2,13120015,4.8,2370745,4.2,-29636,-4.2,17,2.6,845,2.5
"01009","1","10","71","0","2017","A","",10,91,4701856,0,0,991,51527,"",2.13,0.56,0.58,0.00,0.00,1.02,1.03,"",0,0.0,-3,-3.2,-77978,-1.6,0,0.0,0,0.0,11,1.1,542,1.1
"01009","2","10","71","0","2017","A","",11,161,5542480,0,0,661,34372,"",2.02,0.60,0.56,0.00,0.00,0.93,0.94,"",0,0.0,-4,-2.4,-387305,-6.5,0,0.0,0,0.0,-30,-4.3,-1584,-4.4
"01009","3","10","71","0","2017","A","",44,1666,61175192,880282,8715,706,36712,"",3.32,2.05,2.42,1.10,2.51,1.18,1.18,"",0,0.0,18,1.1,1939613,3.3,-21239,-2.4,-4611,-34.6,15,2.2,768,2.1
"01009","5","10","71","0","2017","A","",707,6409,216801759,57561087,666409,651,33830,"",0.94,0.90,0.89,1.00,0.99,0.98,0.98,"",16,2.3,168,2.7,11645685,5.7,2391984,4.3,-25025,-3.6,19,3.0,956,2.9
